OBJECTID;DEM_RÍO_MAGDALENA_tif;X;Y;DEM_RÍO_MAGDALENA_Band_1
316;68;-73,918749999999889;7,243749999999914;68,0000000
317;69;-73,935416666666555;7,239583333333248;69,0000000
318;68;-73,918749999999889;7,239583333333248;68,0000000
319;66;-73,918749999999889;7,235416666666580;66,0000000
320;69;-73,935416666666555;7,231249999999914;69,0000000
321;65;-73,931249999999892;7,231249999999914;65,0000000
322;65;-73,927083333333229;7,231249999999914;65,0000000
323;66;-73,922916666666552;7,231249999999914;66,0000000
324;67;-73,918749999999889;7,231249999999914;67,0000000
325;66;-73,931249999999892;7,227083333333248;66,0000000
326;65;-73,927083333333229;7,227083333333248;65,0000000
327;66;-73,922916666666552;7,227083333333248;66,0000000
328;65;-73,927083333333229;7,222916666666581;65,0000000
329;66;-73,922916666666552;7,222916666666581;66,0000000
330;65;-73,927083333333229;7,218749999999914;65,0000000
331;66;-73,922916666666552;7,218749999999914;66,0000000
332;68;-73,918749999999889;7,218749999999914;68,0000000
333;66;-73,927083333333229;7,214583333333247;66,0000000
334;66;-73,922916666666552;7,214583333333247;66,0000000
335;67;-73,927083333333229;7,210416666666581;67,0000000
336;67;-73,922916666666552;7,210416666666581;67,0000000
337;67;-73,927083333333229;7,206249999999914;67,0000000
338;68;-73,931249999999892;7,202083333333247;68,0000000
339;66;-73,927083333333229;7,202083333333247;66,0000000
340;67;-73,935416666666555;7,197916666666581;67,0000000
341;66;-73,931249999999892;7,197916666666581;66,0000000
342;67;-73,935416666666555;7,193749999999914;67,0000000
343;66;-73,935416666666555;7,189583333333247;66,0000000
344;67;-73,931249999999892;7,189583333333247;67,0000000
345;68;-73,927083333333229;7,185416666666581;68,0000000
346;66;-73,935416666666555;7,181249999999914;66,0000000
347;66;-73,931249999999892;7,181249999999914;66,0000000
348;66;-73,935416666666555;7,177083333333247;66,0000000
349;66;-73,935416666666555;7,172916666666580;66,0000000
350;67;-73,931249999999892;7,172916666666580;67,0000000
351;66;-73,935416666666555;7,168749999999914;66,0000000
352;68;-73,931249999999892;7,168749999999914;68,0000000
353;66;-73,935416666666555;7,164583333333248;66,0000000
354;68;-73,931249999999892;7,164583333333248;68,0000000
355;69;-73,927083333333229;7,164583333333248;69,0000000
356;68;-73,931249999999892;7,160416666666580;68,0000000
357;70;-73,927083333333229;7,160416666666580;70,0000000
358;67;-73,931249999999892;7,156249999999914;67,0000000
359;70;-73,927083333333229;7,156249999999914;70,0000000
360;68;-73,931249999999892;7,152083333333247;68,0000000
361;67;-73,927083333333229;7,152083333333247;67,0000000
362;68;-73,922916666666552;7,152083333333247;68,0000000
363;69;-73,918749999999889;7,152083333333247;69,0000000
364;70;-73,931249999999892;7,147916666666580;70,0000000
365;67;-73,927083333333229;7,147916666666580;67,0000000
366;69;-73,922916666666552;7,147916666666580;69,0000000
367;69;-73,918749999999889;7,147916666666580;69,0000000
368;69;-73,931249999999892;7,143749999999914;69,0000000
369;68;-73,927083333333229;7,143749999999914;68,0000000
370;68;-73,914583333333226;7,143749999999914;68,0000000
371;68;-73,931249999999892;7,139583333333247;68,0000000
372;70;-73,927083333333229;7,139583333333247;70,0000000
373;68;-73,914583333333226;7,139583333333247;68,0000000
374;67;-73,931249999999892;7,135416666666581;67,0000000
375;68;-73,914583333333226;7,135416666666581;68,0000000
376;70;-73,935416666666555;7,131249999999913;70,0000000
377;68;-73,931249999999892;7,131249999999913;68,0000000
378;70;-73,935416666666555;7,127083333333247;70,0000000
379;72;-73,918749999999889;7,127083333333247;72,0000000
380;71;-73,910416666666563;7,127083333333247;71,0000000
381;72;-73,935416666666555;7,122916666666581;72,0000000
382;69;-73,931249999999892;7,122916666666581;69,0000000
383;72;-73,935416666666555;7,118749999999913;72,0000000
384;68;-73,931249999999892;7,118749999999913;68,0000000
385;67;-73,910416666666563;7,118749999999913;67,0000000
386;69;-73,931249999999892;7,114583333333247;69,0000000
387;71;-73,927083333333229;7,114583333333247;71,0000000
388;72;-73,922916666666552;7,114583333333247;72,0000000
